Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
trainSort,3,1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,55.0,14.0,13.0,1.0,0.0,92.85714285714286,7.142857142857143,0.0,0.8793103448275863,0.04124223602484472,0.12066965907658028,16.009001044764126,34.03128544883241,25.79437591141357,2.6891604729047742,23.105215438508797,1.8424554222438265,0.19208289092176958,1.650372531322057,23.099771299818656,1.6499836642727612,1202.9765396209782,1.0,8.0,0.16666666666666666,1.0,0.8333333333333334,5.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,0.9895833333333334,0.9285714285714286,0.09523809523809523,0.9047619047619049,0.07142857142857142,0.9365079365079365,0.9285714285714286,0.9187675070028012,0.9910714285714287,0.003,0.008,0.0,0.01,61581.0,56471.0,22154.0,?
trainSort,3,2,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,55.0,14.0,14.0,0.0,0.0,100.0,0.0,0.0,1.0,0.013913043478260872,0.017391304347826098,5.20809114159498,4.679160457792887,28.121046996519677,0.7150385843197699,27.406008412199906,2.0086462140371197,0.051074184594269274,1.9575720294428505,27.4060084121999,1.95757202944285,1456.6070622665125,1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.003,0.008,0.01,0.0,61581.0,56471.0,22154.0,?
trainSort,3,3,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,55.0,14.0,13.0,1.0,0.0,92.85714285714286,7.142857142857143,0.0,0.8861788617886179,0.0275776397515528,0.08620795812619862,10.704813951619387,24.31238849437544,25.794375911413564,1.702099528612272,24.09227638280129,1.842455422243826,0.12157853775801943,1.7208768844858064,24.092276382801288,1.7208768844858062,1254.6636457306413,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.005494505494505495,0.9945054945054945,0.07142857142857142,0.9642857142857143,0.9285714285714286,0.9285714285714286,1.0,0.002,0.008,0.0,0.0,61581.0,56471.0,22154.0,?
trainSort,3,4,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,55.0,14.0,14.0,0.0,0.0,100.0,0.0,0.0,1.0,0.01391304347826087,0.017391304347826098,5.390662602278195,4.89328445338537,26.09805230174471,0.7150385843197699,25.383013717424937,1.8641465929817649,0.051074184594269274,1.8130724083874956,25.383013717424934,1.8130724083874952,1324.6594201965333,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.003,0.008,0.0,0.01,61581.0,56471.0,22154.0,?
trainSort,3,5,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,56.0,13.0,13.0,0.0,0.0,100.0,0.0,0.0,1.0,0.01367521367521369,0.017094017094017134,5.433088399020268,4.970001720359527,22.560063040596535,0.6524148431868203,21.907648197409713,1.735389464661272,0.050185757168216945,1.6852037074930548,21.907648197409713,1.6852037074930548,1128.374330330384,1.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.002,0.008,0.0,0.01,62418.0,57308.0,21317.0,?
trainSort,4,1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,55.0,14.0,14.0,0.0,0.0,100.0,0.0,0.0,1.0,0.013913043478260872,0.017391304347826098,5.400626858474646,4.904699715881247,25.794375911413564,0.7150385843197699,25.079337327093793,1.842455422243826,0.051074184594269274,1.7913812376495566,25.07933732709379,1.7913812376495564,1306.06723513195,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.002,0.009,0.0,0.01,61581.0,56471.0,22154.0,?
trainSort,4,2,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,55.0,14.0,14.0,0.0,0.0,100.0,0.0,0.0,1.0,0.013913043478260872,0.017391304347826098,5.400626858474646,4.904699715881247,25.794375911413564,0.7150385843197699,25.079337327093793,1.842455422243826,0.051074184594269274,1.7913812376495566,25.07933732709379,1.7913812376495564,1306.06723513195,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.003,0.008,0.0,0.01,61581.0,56471.0,22154.0,?
trainSort,4,3,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,55.0,14.0,13.0,1.0,0.0,92.85714285714286,7.142857142857143,0.0,0.8793103448275863,0.0275776397515528,0.08620795812619862,10.704813951619387,24.31238849437544,25.794375911413564,1.7020995286122718,24.09227638280129,1.842455422243826,0.12157853775801941,1.7208768844858064,24.092276382801288,1.7208768844858062,1254.6636457306413,1.0,8.0,0.16666666666666666,1.0,0.8333333333333334,5.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9285714285714286,0.09523809523809523,0.9047619047619049,0.07142857142857142,0.9365079365079365,0.9285714285714286,0.9187675070028012,1.0,0.003,0.008,0.01,0.01,61581.0,56471.0,22154.0,?
trainSort,4,4,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,55.0,14.0,14.0,0.0,0.0,100.0,0.0,0.0,1.0,0.01391304347826087,0.017391304347826098,5.400626858474645,4.904699715881247,25.794375911413564,0.7150385843197699,25.079337327093793,1.842455422243826,0.051074184594269274,1.7913812376495566,25.07933732709379,1.7913812376495564,1306.06723513195,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.001,0.004,0.0,0.0,61581.0,56471.0,22154.0,?
trainSort,4,5,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0140911012000002E7,56.0,13.0,13.0,0.0,0.0,100.0,0.0,0.0,1.0,0.01367521367521369,0.017094017094017134,5.213675213675219,4.708675242540695,25.190410516033786,0.6524148431868203,24.537995672846964,1.9377238858487529,0.050185757168216945,1.8875381286805357,24.537995672846968,1.887538128680536,1291.829715500337,1.0,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.002,0.003,0.0,0.0,62418.0,57308.0,21317.0,?
