Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules
trainSort,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,55.0,14.0,13.0,1.0,0.0,92.85714285714286,7.142857142857143,0.0,0.8793103448275863,0.0265052039361782,0.15680690115375623,10.288526481695788,44.22271890338017,25.79437591141356,3.789504158458751,22.00487175295481,1.8424554222438256,0.2706788684613394,1.5717765537824864,22.428742254882145,1.6020530182058674,1168.0310768289187,1.0,8.0,0.16666666666666666,1.0,0.8333333333333334,5.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9285714285714286,0.09523809523809523,0.9047619047619049,0.07142857142857142,0.9365079365079365,0.9285714285714286,0.9187675070028012,1.0,0.082,0.098,0.08,0.1,44195.0,56471.0,22154.0,?,?,?,?
trainSort,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,55.0,14.0,12.0,2.0,0.0,85.71428571428571,14.285714285714286,0.0,0.7565217391304346,0.05714059462611316,0.23903625726766545,22.139344781335353,67.2561630852893,26.098052301744705,305.36201716701396,-279.26396486526926,1.8641465929817647,21.811572654786712,-19.947426061804947,19.10916735312611,1.3649405252232936,997.2471680560766,1.0,8.0,0.16666666666666666,1.0,0.8333333333333334,5.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.8571428571428571,0.10714285714285714,0.892857142857143,0.14285714285714285,0.8174603174603174,0.8571428571428571,0.8187675070028011,0.994047619047619,0.029,0.053,0.03,0.05,44195.0,56471.0,22154.0,?,?,?,?
trainSort,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,55.0,14.0,12.0,2.0,0.0,85.71428571428571,14.285714285714286,0.0,0.7565217391304346,0.05714285714285715,0.23904572186687875,22.181146025878004,67.41573033707866,25.79437591141356,1199.9499508951935,-1174.15557498378,1.8424554222438256,85.7107107782281,-83.86825535598429,19.041938908484916,1.3601384934632084,991.6550895022532,1.0,8.0,0.16666666666666666,1.0,0.8333333333333334,5.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,0.9166666666666666,0.8571428571428571,0.10714285714285714,0.8928571428571429,0.14285714285714285,0.8174603174603174,0.8571428571428571,0.8187675070028011,0.9464285714285713,0.016,0.019,0.01,0.02,44195.0,56471.0,22154.0,?,?,?,?
trainSort,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,55.0,14.0,13.0,1.0,0.0,92.85714285714286,7.142857142857143,0.0,0.8852459016393444,0.04012195720647745,0.18232099024151474,15.57414235371583,51.418208269612805,25.79437591141356,328.62782478341705,-302.8334488720035,1.8424554222438256,23.47341605595836,-21.630960633714533,21.573178868087748,1.5409413477205534,1123.475541230157,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.011904761904761904,0.9880952380952381,0.07142857142857142,0.9523809523809524,0.9285714285714286,0.9238095238095239,0.988095238095238,0.015,0.019,0.02,0.02,44195.0,56471.0,22154.0,?,?,?,?
trainSort,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,56.0,13.0,13.0,0.0,0.0,100.0,0.0,0.0,1.0,8.12853826787837E-20,6.553437063254366E-19,3.1049763229419786E-17,1.8093987997120062E-16,24.886734125702652,0.0,24.886734125702652,1.9143641635155886,0.0,1.9143641635155886,24.886734125702652,1.9143641635155886,1307.4634849013119,1.0,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.011,0.015,0.01,0.02,44195.0,57308.0,21317.0,?,?,?,?
trainSort,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,55.0,14.0,14.0,0.0,0.0,100.0,0.0,0.0,1.0,1.315541345846532E-32,7.807738266908015E-32,5.097115915641544E-30,2.1968153459598723E-29,26.098052301744712,0.0,26.098052301744712,1.864146592981765,0.0,1.864146592981765,26.098052301744712,1.864146592981765,1361.9750284638435,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.004,0.01,0.0,0.01,44195.0,56471.0,22154.0,?,?,?,?
trainSort,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,55.0,14.0,14.0,0.0,0.0,100.0,0.0,0.0,1.0,1.6437915207350014E-62,1.375261606542841E-61,6.38070645756655E-60,3.878515996252006E-59,25.79437591141357,0.0,25.79437591141357,1.8424554222438265,0.0,1.8424554222438265,25.79437591141357,1.8424554222438265,1343.3046012814254,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.004,0.009,0.0,0.01,44195.0,56471.0,22154.0,?,?,?,?
trainSort,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,55.0,14.0,13.0,1.0,0.0,92.85714285714286,7.142857142857143,0.0,0.8955223880597015,0.028571428571428574,0.16903085094570333,10.695187165775405,45.47804224880253,28.12104699651968,173.93901006310833,-145.81796306658865,2.00864621403712,12.424215004507738,-10.415568790470617,24.647115808187266,1.7605082720133762,1309.9741637211428,1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.011904761904761904,0.9880952380952381,0.07142857142857142,0.9523809523809524,0.9285714285714286,0.9238095238095239,0.994047619047619,0.003,0.042,0.0,0.04,44195.0,56471.0,22154.0,?,?,?,?
trainSort,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,55.0,14.0,14.0,0.0,0.0,100.0,0.0,0.0,1.0,1.9303064723998528E-44,1.6150102642762256E-43,7.492871704324753E-42,4.554655720996015E-41,25.79437591141357,0.0,25.79437591141357,1.8424554222438265,0.0,1.8424554222438265,25.79437591141357,1.8424554222438265,1343.3046012814254,1.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.003,0.018,0.01,0.01,44195.0,56471.0,22154.0,?,?,?,?
trainSort,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409101804E7,56.0,13.0,11.0,2.0,0.0,84.61538461538461,15.384615384615385,0.0,0.711111111111111,0.06153846153846154,0.2480694691784169,24.448897795591183,72.12498278224612,22.560063040596535,894.7638094554793,-872.2037464148827,1.735389464661272,68.82798534272918,-67.0925958780679,15.961598538787136,1.2278152722143951,822.1173674103409,1.0,8.0,0.2,1.0,0.8,4.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,0.9,0.8461538461538461,0.13706293706293707,0.862937062937063,0.15384615384615385,0.7264957264957265,0.8461538461538461,0.779185520361991,0.9314685314685315,0.003,0.01,0.0,0.01,44195.0,57308.0,21317.0,?,?,?,?
